Scope,Age ,Vitam C (mg),Vitam B6 (mg),Vitam B12 (µg),Vitam E (mg) ,Vitam D (µg),Vitam K (µg),Zinc (mg),Potassium (mg),Magnesium (mg),Iron(mg),Calcium(mg),Fiber (mg),Cholestorol(mg)
male,1,15,0.5,0.9,6,15,30,7,3000,65,7,700,19,250
male,2,15,0.5,0.9,6,15,30,7,3000,65,7,700,19,250
male,3,15,0.5,0.9,6,15,30,7,3000,65,7,700,19,250
male,4,25,0.6,1.2,7,15,55,12,3800,110,10,1000,25,250
male,5,25,0.6,1.2,7,15,55,12,3800,110,10,1000,25,250
male,6,25,0.6,1.2,7,15,55,12,3800,110,10,1000,25,250
male,7,25,0.6,1.2,7,15,55,12,3800,110,10,1000,25,250
male,8,25,0.6,1.2,7,15,55,12,3800,110,10,1000,25,250
male,9,45,1,1.8,11,15,60,23,4500,350,8,1300,38,250
male,10,45,1,1.8,11,15,60,23,4500,350,8,1300,38,250
male,11,45,1,1.8,11,15,60,23,4500,350,8,1300,38,250
male,12,45,1,1.8,11,15,60,23,4500,350,8,1300,38,250
male,13,45,1,1.8,11,15,60,23,4500,350,8,1300,38,250
male,14,75,1.3,2.4,15,15,75,34,4700,350,11,1300,30,250
male,15,75,1.3,2.4,15,15,75,34,4700,350,11,1300,30,250
male,16,75,1.3,2.4,15,15,75,34,4700,350,11,1300,30,250
male,17,75,1.3,2.4,15,15,75,34,4700,350,11,1300,30,250
male,18,75,1.3,2.4,15,15,75,34,4700,350,11,1300,30,250
male,19,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,20,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,21,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,22,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,23,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,24,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,25,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,26,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,27,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,28,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,29,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,30,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,31,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,32,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,33,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,34,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,35,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,36,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,37,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,38,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,39,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,40,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,41,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,42,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,43,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,44,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
male,45,90,1.7,2.4,15,20,120,40,4700,350,8,1000,30,250
